발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2012,2012050901,야간,수,1,1,경남 거창군
2012,2012033013,주간,금,1,1,경기 용인시
2012,2012102620,야간,금,1,2,경북 김천시
2012,2012062814,주간,목,1,1,경기 이천시
2012,2012061804,야간,월,1,1,전남 광양시
2012,2012071508,주간,일,1,5,전남 광양시
2012,2012053104,야간,목,1,2,경기 하남시
2012,2012091714,주간,월,1,1,충남 논산시
2012,2012100102,야간,월,1,5,경남 밀양시
2012,2012081612,주간,목,1,1,전북 진안군
2012,2012083008,주간,목,1,5,대구 북구
2012,2012091604,야간,일,1,1,대구 달성군
2012,2012092410,주간,월,2,2,전북 무주군
2012,2012101602,야간,화,1,1,경기 화성시
2012,2012121404,야간,금,1,2,경기 광명시
2012,2012111110,주간,일,1,1,경남 진주시
2012,2012110601,야간,화,1,1,경남 진주시
2012,2012081100,야간,토,1,1,경북 구미시
2012,2012092002,야간,목,1,3,경북 구미시
2012,2012010101,야간,일,1,6,전북 정읍시
2012,2012010104,야간,일,1,1,경기 화성시
2012,2012010104,야간,일,1,2,충남 서산시
2012,2012010103,야간,일,1,1,광주 서구
2012,2012010416,주간,수,1,1,경남 김해시
2012,2012010420,야간,수,1,1,경기 안성시
2012,2012010910,주간,월,1,1,강원 춘천시
2012,2012010623,야간,금,1,1,대전 유성구
2012,2012010510,주간,목,1,1,충남 태안군
2012,2012010518,야간,목,1,1,경기 포천시
2012,2012011320,야간,금,1,1,인천 계양구
2012,2012011316,주간,화,1,1,서울 강서구
2012,2012011222,야간,목,1,1,전남 순천시
2012,2012011300,야간,금,1,1,경기 양평군
2012,2012011016,주간,화,1,1,인천 강화군
2012,2012011113,주간,수,1,1,인천 연수구
2012,2012030515,주간,월,1,1,경기 양주시
2012,2012021000,야간,금,1,5,경남 진주시
2012,2012011804,야간,수,1,1,경남 창원시(통합)
2012,2012042611,주간,목,1,1,경남 함안군
2012,2012010108,주간,일,1,1,충남 청양군
2012,2012010104,야간,일,1,1,경북 경산시
2012,2012010113,주간,일,1,3,강원 강릉시
2012,2012010917,주간,월,1,1,부산 기장군
2012,2012010807,주간,일,1,1,경남 진주시
2012,2012010702,야간,토,1,1,경기 광주시
2012,2012010507,주간,목,1,1,충남 천안시
2012,2012010612,주간,금,1,2,전북 남원시
2012,2012011304,야간,금,2,2,인천 남동구
2012,2012011200,야간,목,1,1,인천 남동구
2012,2012022800,야간,화,1,2,부산 강서구
2012,2012011302,야간,금,1,2,충북 괴산군
2012,2012022202,야간,수,1,1,충북 제천시
2012,2012012606,주간,목,1,1,경북 구미시
2012,2012032706,주간,화,1,3,경기 안산시
2012,2012041222,야간,목,1,3,전북 완주군
2012,2012061114,주간,월,1,3,전북 완주군
2012,2012011417,주간,토,1,4,충북 음성군
2012,2012011005,야간,화,1,1,경기 용인시
2012,2012012506,주간,수,1,1,경남 진주시
2012,2012011622,야간,월,1,4,경기 용인시
2012,2012042923,야간,일,1,1,경남 진주시
2012,2012042705,야간,금,1,3,경북 영천시
2012,2012052211,주간,화,1,8,경기 평택시
2012,2012051310,주간,일,1,12,충남 천안시
2012,2012042823,야간,토,1,4,인천 남동구
2012,2012051401,야간,월,2,6,인천 계양구
2012,2012060123,야간,금,1,1,경기 성남시
2012,2012071212,주간,목,1,2,경기 안양시
2012,2012070910,주간,월,1,4,서울 서초구
2012,2012081321,야간,월,2,4,경북 상주시
2012,2012090615,주간,목,2,2,경기 이천시
2012,2012090110,주간,토,1,1,경남 김해시
2012,2012090717,주간,금,1,3,충남 보령시
2012,2012080302,야간,금,1,2,경기 이천시
2012,2012122105,야간,금,1,2,전남 보성군
2012,2012102204,야간,월,1,1,충남 보령시
2012,2012060123,야간,금,1,1,경기 김포시
2012,2012091409,주간,금,1,1,경기 가평군
2012,2012082222,야간,수,1,1,경기 가평군
2012,2012111509,주간,목,1,2,전북 장수군
2012,2012112319,야간,금,1,1,충북 청주시
2012,2012111109,주간,일,2,8,경기 시흥시
2012,2012080212,주간,목,1,5,경북 김천시
2012,2012091117,주간,화,1,2,경기 안성시
2012,2012010105,야간,일,1,1,부산 강서구
2012,2012011003,야간,화,1,1,대구 서구
2012,2012011001,야간,화,1,1,경기 이천시
2012,2012011000,야간,화,1,1,경기 남양주시
2012,2012011400,야간,토,1,1,경기 남양주시
2012,2012011306,주간,금,1,1,경기 여주시
2012,2012121719,야간,월,1,1,인천 남구
2012,2012100614,주간,토,1,6,경기 용인시
2012,2012121407,주간,금,1,1,전북 무주군
2012,2012120323,야간,월,1,2,경북 상주시
2012,2012112807,주간,수,1,2,경북 고령군
2012,2012010316,주간,화,1,1,전남 영광군
2012,2012010322,야간,화,1,1,전북 전주시
2012,2012010516,주간,목,2,3,경남 고성군
2012,2012010715,주간,토,1,2,충북 청원군
2012,2012010720,야간,토,1,1,경기 안산시
2012,2012010521,야간,목,1,1,경남 진주시
2012,2012011318,야간,금,1,1,전북 부안군
2012,2012011410,주간,토,1,2,경기 김포시
2012,2012011419,야간,토,1,2,경기 포천시
2012,2012011416,주간,토,1,1,부산 해운대구
2012,2012011101,야간,수,1,2,경기 시흥시
2012,2012011011,주간,화,1,1,울산 남구
2012,2012010915,주간,월,1,1,경기 평택시
2012,2012052114,주간,월,1,1,대구 달성군
2012,2012051916,주간,토,1,3,충남 보령시
2012,2012050404,야간,금,1,2,대구 북구
2012,2012050301,야간,목,2,4,대구 달성군
2012,2012062901,야간,금,1,1,경기 양주시
2012,2012071319,야간,금,1,4,전북 남원시
2012,2012080717,주간,화,1,3,경기 용인시
2012,2012010118,야간,일,1,3,전북 익산시
2012,2012010110,주간,일,2,2,경남 합천군
2012,2012011008,주간,화,1,1,울산 남구
2012,2012010801,야간,일,1,1,경기 수원시
2012,2012010521,야간,목,1,1,전북 전주시
2012,2012011307,주간,금,1,1,경남 창원시(통합)
2012,2012040819,야간,일,1,3,경남 함양군
2012,2012032406,주간,토,1,1,경남 사천시
2012,2012052514,주간,목,1,3,경기 구리시
2012,2012051418,야간,월,1,3,강원 원주시
